compute_0001	compute_0002	compute_0003	compute_0004	compute_0005	compute_0006	compute_0007	compute_0008	compute_0009	compute_0010	compute_0011
07345	F1703	Bioquímica	2019	3	3			07035	Farmacia	Cursante
07345	F1703	Bioquímica	2020	25	17	2		07035	Farmacia	Cursante
07345	F1703	Bioquímica	2021	49	37	6		07035	Farmacia	Cursante
07345	F1703	Bioquímica	2021	2	1			07035	Farmacia	Recursante
07345	F1703	Bioquímica	2022	29	12	11		07035	Farmacia	Cursante
07345	F1703	Bioquímica	2022	10		9		07035	Farmacia	Recursante
07345	F1703	Bioquímica	2023	27	15	11		07035	Farmacia	Cursante
07345	F1703	Bioquímica	2023	15	6	8		07035	Farmacia	Recursante
