compute_0001	compute_0002	compute_0003	compute_0004	compute_0005	compute_0006	compute_0007	compute_0008	compute_0009	compute_0010	compute_0011
07345	A1803	Bioquímica	2019	1	1			07309	Licenciatura en Ciencia y Tecnología de los Alimentos	Cursante
07345	A1803	Bioquímica	2020	9	8	1		07309	Licenciatura en Ciencia y Tecnología de los Alimentos	Cursante
07345	A1803	Bioquímica	2021	10	8	2		07309	Licenciatura en Ciencia y Tecnología de los Alimentos	Cursante
07345	A1803	Bioquímica	2021	1	1			07309	Licenciatura en Ciencia y Tecnología de los Alimentos	Recursante
07345	A1803	Bioquímica	2022	9	4	3		07309	Licenciatura en Ciencia y Tecnología de los Alimentos	Cursante
07345	A1803	Bioquímica	2022	3	2	1		07309	Licenciatura en Ciencia y Tecnología de los Alimentos	Recursante
07345	A1803	Bioquímica	2023	10	7	3		07309	Licenciatura en Ciencia y Tecnología de los Alimentos	Cursante
07345	A1803	Bioquímica	2023	2		2		07309	Licenciatura en Ciencia y Tecnología de los Alimentos	Recursante
